layer,rank,feature_idx,direction,correct_mean_act,incorrect_mean_act,correct_freq,incorrect_freq,freq_diff,mean_diff,effect_size,p_value
0,74,32762,confidence,0.02762707387954504,0.022183610799726746,0.03518728717366629,0.028169014084507043,-0.0070182730891592444,-0.005443463079818293,-0.039520177528273484,0.624121126827867
0,75,17806,confidence,4.084108769961302,4.070084883013801,1.0,1.0,0.0,-0.014023886947501119,-0.037840128399380994,0.5849608361125882
0,76,11205,confidence,0.07965630800309977,0.07138580727465275,0.09875141884222474,0.0892018779342723,-0.009549540907952445,-0.008270500728447011,-0.03524177270269575,0.642464926735426
0,77,23029,confidence,2.890895509557475,2.8850388034408643,1.0,1.0,0.0,-0.005856706116610599,-0.03405666769275392,0.7823806022927383
0,78,21573,confidence,1.3716254702491197,1.3687913899130664,1.0,1.0,0.0,-0.0028340803360533684,-0.03375874275987711,0.7836801062801689
0,79,29041,confidence,0.5440395791062432,0.5283621787465235,0.5777525539160046,0.5586854460093896,-0.019067107906614922,-0.015677400359719762,-0.03276472065875657,0.6497582863332612
0,80,14565,confidence,1.5732805918348227,1.5711334529617023,1.0,1.0,0.0,-0.0021471388731204577,-0.028856766405317626,0.8034300946217452
0,81,4154,confidence,1.7176685657999167,1.714659591795693,1.0,1.0,0.0,-0.003008974004223619,-0.028358707667561458,0.689906752486783
0,82,12686,uncertainty,0.5479267981076754,0.5602219927478844,0.6174801362088536,0.6338028169014085,0.016322680692554936,0.012295194640209006,0.02832057650219224,0.6463752620607155
0,83,24521,confidence,4.246354557193232,4.24306962187861,1.0,1.0,0.0,-0.0032849353146220395,-0.02820578309897958,0.7047444610483302
0,84,24193,confidence,1.1777431667189322,1.1741010370388838,1.0,1.0,0.0,-0.0036421296800484004,-0.027758166529897575,0.9373987615673319
0,85,4397,confidence,0.933252506846061,0.925508954995115,0.9353007945516458,0.9295774647887324,-0.005723329762913454,-0.0077435518509459955,-0.02758740759897188,0.7963996243685648
0,86,30286,uncertainty,5.2474509292238825,5.251971952232397,1.0,1.0,0.0,0.004521023008514646,0.023066757836060485,0.7736712513367299
